,page_url,artist,artist_nationality,artist_birthdate,title,image_url,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
432,https://www.artsy.net/artwork/denise-duong-broken-silence,Denise Duong,Follow,NA,Broken Silence,https://d32dm0rphc51dk.cloudfront.net/viobSMefybNkrrplcKTnVQ/large.jpg,2020,Oklahoma City,Secure payment,Painting,"Acrylic, Paper, and Ink on Canvas",48 × 36 in,121.9 × 91.4 cm,"Good condition, no visible damage",This is a unique work.,"Hand-signed by artist, Front, Bottom, Right Corner",NA,Not included,$,"3,500"
433,https://www.artsy.net/artwork/alan-fears-2-for-1-down-at-the-mini-mart,Alan Fears,British,1974,2 For 1 Down At The Mini Mart,https://d32dm0rphc51dk.cloudfront.net/DNUh3SGNcKtbOPxqlCMg4A/large.jpg,2020,Fears and Kahn,London,Painting,Acrylic on Canvas,23 3/5 × 17 7/10 × 4/5 in,60 × 45 × 2 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,£,"2,000"
434,https://www.artsy.net/artwork/amber-goldhammer-permanent-zone,Amber Goldhammer,American,1979,Permanent Zone,https://d32dm0rphc51dk.cloudfront.net/wqbA1UYURGQATc3Us1GjGg/large.jpg,2020,"Los Angeles, Zürich",Certificate of authenticity,Painting,"Acrylic, Latex, and Spray on Canvas",48 × 96 in,121.9 × 243.8 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"4,300"
435,https://www.artsy.net/artwork/jeffrey-cheung-untitled-105,Jeffrey Cheung,American,1989,Untitled,https://d32dm0rphc51dk.cloudfront.net/F7w3pqyr1rBNm30OkYghPg/large.jpg,2019,Make offer,Bim Bam Gallery,"Drawing, Collage or other Work on Paper",Oil pastel on paper,34 3/5 × 27 1/5 in,88 × 69 cm,NA,This is a unique work.,Not signed,NA,Included,€,"1,900"
436,https://www.artsy.net/artwork/kaws-what-party-set-of-7-colored-print,KAWS,American,1974,What Party (Set of 7 Colored Print),https://d32dm0rphc51dk.cloudfront.net/g87QJWsJZ4SJrJr6fdUOIg/large.jpg,2020,Make offer,Visioner,Print,Screen print on Saunders Waterford 425gm HP hi-white paper,22 × 22 in,55.9 × 55.9 cm,Brand new portfolio in the original packaging,Edition 50/100,Hand-signed by artist,NA,Not included,NA,NA
437,https://www.artsy.net/artwork/robert-mars-divine-intervention-2,Robert Mars,American,1969,"""Divine Intervention""",https://d32dm0rphc51dk.cloudfront.net/CSLE5dIkJkgMWGrK7cnVpg/large.jpg,2020,Parlor Gallery,Asbury Park,Painting,Paper and acrylic on wood,44 × 44 × 2 in,111.8 × 111.8 × 5.1 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,$,"13,500"
438,https://www.artsy.net/artwork/eugene-berman-theatrical-figure-1,Eugene Berman,"American, 1899–1972",NA,Theatrical Figure,https://d32dm0rphc51dk.cloudfront.net/rlVkIWYBwmJ5s4NNrLtP8Q/large.jpg,1950s,Make offer,Wallector,"Drawing, Collage or other Work on Paper",Ink and Watercolor Drawing,13 4/5 × 9 4/5 in,35 × 25 × 0.1 cm,NA,This is a unique work.,Hand-signed by artist,NA,Not included,£,630
439,https://www.artsy.net/artwork/amina-benbouchta-certains-jours-retranches-des-autres,Amina Benbouchta,Moroccan,1963,Certains Jours retranchés des autres,https://d32dm0rphc51dk.cloudfront.net/6LwLis0YkArTTAz-yKS-XA/large.jpg,2014,Sabrina Amrani,Madrid,Painting,Acrylic,24 × 19 7/10 in,61 × 50 cm,NA,This is a unique work.,Not signed,Included,Included,€,"2,700"
440,https://www.artsy.net/artwork/harold-richter-the-red-rooster,Harold Richter,German,1942,"""The red rooster""",https://d32dm0rphc51dk.cloudfront.net/bMSFjJyXdp17Y5vNK-VDWg/large.jpg,2021,Make offer,Galerie Fedorova,Painting,Acrylic on Canvas,28 × 43 in,71.1 × 109.2 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,650
441,https://www.artsy.net/artwork/sze-wai-wong-the-eternal-flame-1,Sze Wai Wong,Hong Kong,1990,The Eternal Flame,https://d32dm0rphc51dk.cloudfront.net/rxWmMvPczbgbGzecXE1uCw/large.jpg,2020,Hong Kong,Certificate of authenticity,Painting,Ink and Colour on Paper,28 7/10 × 52 2/5 in,73 × 133 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"1,940"
442,https://www.artsy.net/artwork/john-singer-sargent-figure-studies,John Singer Sargent,"American, 1856–1925",NA,Figure Studies,https://d32dm0rphc51dk.cloudfront.net/DyjK-3arTlikpOPkoLXA_g/large.jpg,1870-1874,Adelson Galleries,"New York, Palm Beach, Miami","Drawing, Collage or other Work on Paper",Pencil on paper,5 3/4 × 5 1/4 in,14.6 × 13.3 cm,Fox mark on the upper right of paper.,This is a unique work.,"Sticker label, Reviewed and accepted by the John Singer Sargent catalogue raisonné committee.",Included,Included,$,"7,500"
