,page_URL,artist,artist_nationality,artist_birthdate,title,image_URL,year,gallery,gallery_location,medium,medium_details,size_inches,size_cm,condition,classification,signed,authenticated,framed,currency,price
642,https://www.artsy.net/artwork/mr-brainwash-chaplin-2140,Mr. Brainwash,French,1966,CHAPLIN,https://d32dm0rphc51dk.cloudfront.net/PkOmQrvUhz68T79TBLWkeQ/large.jpg,2012,Gallery Art,Aventura,Painting,MIXED MEDIA ON CANVAS,36 × 24 in,91.4 × 61 cm,Excellent,This is a unique work.,"Hand-signed by artist, on front.",Included,Not included,$,"36,000"
643,https://www.artsy.net/artwork/hunt-slonem-purple-guardians-and-butterflies,Hunt Slonem,American,1951,Purple Guardians and Butterflies ,https://d32dm0rphc51dk.cloudfront.net/VSr5PoIN29VxznjZ2ncxXQ/large.jpg,2020,Madison Gallery,Solana Beach,Painting,Oil on canvas,40 × 60 in,101.6 × 152.4 cm,NA,This is a unique work.,Hand-signed by artist,Included,Not included,$,"35,000"
644,https://www.artsy.net/artwork/francois-monnet-pair-of-francois-monnet-style-benches-slash-footstools-mid-century-modern,Francois Monnet,Follow,NA,Pair of François Monnet Style Benches / Footstools Mid-Century Modern,https://d32dm0rphc51dk.cloudfront.net/Nh8DZqWSwaUyl98CfucG6A/large.jpg,1960,Greenwich Living Antique & Design Center,Stamford,Other,Cut Steel and Leather,13 × 19 3/4 × 19 3/4 in,33 × 50.2 × 50.2 cm,Wear consistent with age and use.,This is a unique work.,Not signed,NA,Not included,$,"10,780"
645,https://www.artsy.net/artwork/hunt-slonem-lemurs,Hunt Slonem,American,1951,Lemurs,https://d32dm0rphc51dk.cloudfront.net/QMeMQI3c8pcLvdazlyQ5Zw/large.jpg,1986,Manolis Projects,Miami,Painting,Oil on canvas,82 × 72 in,208.3 × 182.9 cm,Mint condition,This is a unique work.,"Hand-signed by artist, Signed en verso",Included,Not included,$,"120,000"
646,https://www.artsy.net/artwork/ben-vautier-ceci-est-un-poeme,Ben Vautier,French,1935,Ceci est un poème,https://d32dm0rphc51dk.cloudfront.net/wVAYJgJ4zr7SKknWtXKlYQ/large.jpg,2017,Make offer,Galerie Eva Vautier,Painting,Acrylique sur toile,19 7/10 × 19 7/10 in,50 × 50 cm,NA,This is a unique work.,Oeuvre signée lors de l'acquisition par la main de l'artiste,Included,Not included,€,"14,400"
647,https://www.artsy.net/artwork/marco-grassi-grama-the-di-gold-experience-number-919,Marco Grassi Grama,Italian,1966,The Di-Gold experience #919,https://d32dm0rphc51dk.cloudfront.net/FzWhma7Aa1RzDWfGgseiyQ/large.jpg,2020,Make offer,AbrahamArt,Painting,Oilpaint and resin on aluminium with 24K gold leaf,61 × 61 × 1 3/5 in,155 × 155 × 4 cm,NA,This is a unique work.,Hand-signed by artist,Included,Included,€,"19,990"
648,https://www.artsy.net/artwork/clare-woods-the-poets-wife,Clare Woods,British,1972,The Poet’s Wife,https://d32dm0rphc51dk.cloudfront.net/zdXHD2RMtcaqBEOnJOjR0A/large.jpg,2020,Make offer,Buchmann Galerie,Painting,Oil on aluminium,27 3/5 × 27 3/5 in,70 × 70 cm,NA,This is a unique work.,"Hand-signed by artist, Signed, dated, titled on back",NA,Not included,€,"23,000"
649,https://www.artsy.net/artwork/sue-rossiter-weaver-2-by-sue-rossiter,Sue Rossiter,Follow,NA,Weaver 2 | By Sue Rossiter,https://d32dm0rphc51dk.cloudfront.net/cS3cDnZm1LVD0L9MIg_E2A/large.jpg,2020,Make offer,THROWN,Sculpture,Paperclay,12 2/5 × 4 1/2 × 4 1/10 in,31.5 × 11.5 × 10.5 cm,NA,This is a unique work.,Not signed,NA,Not included,£,360
650,https://www.artsy.net/artwork/greet-helsen-northern-landscape,Greet Helsen,Belgian,1962,Northern Landscape,https://d32dm0rphc51dk.cloudfront.net/GUN63j-L-QUrh-xr19UX4A/large.jpg,2018,Artspace Warehouse,"Los Angeles, Zürich",Painting,Acrylic and Mixed Media on Canvas,39 × 39 in,99.1 × 99.1 cm,NA,This is a unique work.,Hand-signed by artist,Included,Included,$,"3,600"
651,https://www.artsy.net/artwork/janusz-szpyt-the-baboons-ass,Janusz Szpyt,Polish,NA,The Baboon`s Ass,https://d32dm0rphc51dk.cloudfront.net/fF00mW7_goHPbm3w-ekCrg/large.jpg,2007,Make offer,Gallery Katarzyna Napiorkowska | Warsaw & Brussels,Painting,Oil on canvas,27 3/5 × 39 2/5 × 4/5 in,70 × 100 × 2 cm,Very good condition.,This is a unique work.,"Hand-signed by artist, Signed on the canvas",Included,Not included,€,"3,500"
652,https://www.artsy.net/artwork/mark-kostabi-dreams,Mark Kostabi,American,1960,Dreams,https://d32dm0rphc51dk.cloudfront.net/G-nSpEdQn7d6eTf4dLxbQg/large.jpg,1990-2020,QART.COM,Certificate of authenticity,Painting,Paper,30 × 22 1/2 in,76.2 × 57.2 cm,NA,This is a unique work.,"Hand-signed by artist, Hand Signed",Included,Not included,$,"2,500"
653,https://www.artsy.net/artwork/charles-fazzino-charles-fazzino-original-acrylic-painting-batman-batcave-pop-modern-signed-art,Charles Fazzino,American,1955,Charles Fazzino Original Acrylic Painting Batman Batcave Pop Modern Signed Art,https://d32dm0rphc51dk.cloudfront.net/m2xLELb6oMaJ_3zbD-Ul8Q/large.jpg,2011,Original Art Broker,Certificate of authenticity,Painting,Acrylic Paint on Paper,34 × 30 in,86.4 × 76.2 cm,Excellent Condition - Like New ,This is a unique work.,"Hand-signed by artist, Lower Right (see photo)",Included,Included,$,"1,895"
654,https://www.artsy.net/artwork/cali-almy-twilight-fern-sphere,Cali Almy,Follow,NA,Twilight Fern Sphere,https://d32dm0rphc51dk.cloudfront.net/cGitwGGN3rv3fwBe-mMwSQ/large.jpg,2020,Pawtucket,Certificate of authenticity,Sculpture,Ceramic with glazes,4 × 4 × 4 in,10.2 × 10.2 × 10.2 cm,Perfect,This is a unique work.,Hand-signed by artist,Included,Not included,$,110
655,https://www.artsy.net/artwork/francesco-clemente-secret,Francesco Clemente,Italian,1952,Secret,https://d32dm0rphc51dk.cloudfront.net/Hpft6JA_UsX23K1QnW9H9A/large.jpg,1992,Make offer,Mimmo Scognamiglio / Placido,Mixed Media,Pastel on paper,19 × 26 in,48.3 × 66 cm,NA,This is a unique work.,Hand-signed by artist,NA,Included,€,"26,000"
656,https://www.artsy.net/artwork/amber-goldhammer-fast-pace-lover-framed,Amber Goldhammer,American,1979,Fast Pace Lover(Framed),https://d32dm0rphc51dk.cloudfront.net/OIgsJ1kv5nbzxSl0zPJMTA/large.jpg,2019,"Newport Beach, Los Angeles , Palm Springs",Certificate of authenticity,Painting,"Spray, Acryic, Latex, Resin on Canvas Framed",14 × 14 in,35.6 × 35.6 cm,NA,This is a unique work.,Hand-signed by artist,Included,Included,$,500
657,https://www.artsy.net/artwork/peter-max-peter-max-acrylic-painting-original-pop-art-the-dreamer-signed-ink-collage-rare,Peter Max,American,1937,PETER MAX Acrylic Painting ORIGINAL Pop Art THE DREAMER Signed Ink Collage Rare,https://d32dm0rphc51dk.cloudfront.net/Mc7BmYOYBfwBin6cWATDOg/large.jpg,1990-1999,Original Art Broker,Certificate of authenticity,Painting,Acrylic and Collage,18 × 20 in,45.7 × 50.8 cm,Excellent Condition - Like New,This is a unique work.,"Hand-signed by artist, Lower Left (see photo)",Included,Included,$,"2,695"
